cusId,resId,revId
p3ne5ioQEe5axGWYboZ8GA,-FMz30jmH67SJntNp_fd1A,4SV95EN3CJ6lRn_fUuqx-A
bBfL2JE9bIH_PYMuam-L-A,-geMzu2IsbtJUNdJYfU_Sg,BR9vR9A0oV2VbxC0AKqmfg
uwt8VZMQX_rHqCLfPdrQXA,-geMzu2IsbtJUNdJYfU_Sg,eJYVWwUQiIaMSpcAf1ddjQ
XEMr-DtkOy_yEvIp3Q4F0Q,-geMzu2IsbtJUNdJYfU_Sg,lbL05u3KRiNm6jbym3kMHw
t-CgepilG9t8fpHBdt284w,-htJnk0V5KCetJNNujspDA,uCIc_6nWz8_IpZ1-BiYkJA
nZIx08qA5Tmg4mTn2nH1vw,-htJnk0V5KCetJNNujspDA,koBLpfMLP3PwLJhNE8lopA
PkCcJoPs5z2DU08VTRb31A,-htJnk0V5KCetJNNujspDA,AcRn2f-83MOko7sfGz5khg
h5wzD3Nzyx1J1hju2Y2Acw,-hu5SWEFeudsM74DHppaQg,wYLSdXqu8Z6uuftJSrBioA
XgqGrlEu6aZHlttBa0vtPA,-hu5SWEFeudsM74DHppaQg,eRsXoSuEAxzW0bJwacE7Lw
i9Fg_wO8UryFmDkuMROPpg,-hu5SWEFeudsM74DHppaQg,27vohJo31DnBO2YlVOQrag
UloIoumr7EsVaw1DQluJeA,-i2jExohDYLUnuIE62AB3g,OKUMIsqAq8GrqRfHPuBKcQ
O2vjet8hbwTp87fQQFzokw,-i2jExohDYLUnuIE62AB3g,RSEfHHZnaRdQ0nI2rumKRQ
UJrNHBIT4C_ItUTEHd4-Gg,-i2jExohDYLUnuIE62AB3g,1O9SH38z1m_MaMC7Jbgueg
mTy1msUA0ogqVtY4KLkmUQ,-ibAkBXYO23Qgqht0ZPgoQ,ixkH-mm9_MsyldzTe76eyg
5WEIhWcLGO3_1cwd9aVEWQ,-ibAkBXYO23Qgqht0ZPgoQ,fFfaQLOF2KAwrVwSaILssg
aG_i04u6fYMrskDpMcL1eA,-ibAkBXYO23Qgqht0ZPgoQ,BtaXxNLakQDaEGotw9djOw
ITa3vh5ERI90G_WP4SmGUQ,-IBCLfj6PgbmHhVCvZUUbg,dSSHOvZc5XhPQE4IFGuc4g
9_AF8W1zcbuCCVcCL7m3kA,-IBCLfj6PgbmHhVCvZUUbg,X0RPkSDmFuv9ip8hyjLdHA
-i0naVgAra7wMYSFaFNEgg,-IBCLfj6PgbmHhVCvZUUbg,O1JK5vf___XrHm2Cd6SK4A
Gu5uFgWVvvez6EvmTFckQg,-iMtxD2855n_Y3KAzQMqMw,Ei4WDegPmdNVM3dR3aTVXw
CUP3P3pcsFgLxSw6sHnSEA,-iMtxD2855n_Y3KAzQMqMw,s_Ysl3HmT9RDyfMZZbV0_w
dpDTzqu7_qEO1JpW5In6-A,-iMtxD2855n_Y3KAzQMqMw,G9GQZ0Zarq5sqQ0Z41OEmg
UpiWEkykuxp1viYtw89PEQ,-IZGkKVw3FiG-sTjQk2LEw,Qctz3xKdx3DRgiO6uBMjaA
PKFCjwxHfJY3NczH18CkPQ,-IZGkKVw3FiG-sTjQk2LEw,hXQbN-RDghTfCbE0cb-unw
vEK2P3nSpfEP0jumWfor9Q,-IZGkKVw3FiG-sTjQk2LEw,CcNOtc_lUt4H5sTFaNYy8g
IuMaKOTNRHz16024KRRWOw,-kvZ402OkPZfTM6wt_s4BQ,t0cGHghU4BRZ5iacCzuWLg
hUsJnWyFYGIWK22s8l0e9w,-kvZ402OkPZfTM6wt_s4BQ,M_HksQhgpo-1ZgtL2DzsxQ
Y8_hDaT-5m0i07qR_fW63A,-kvZ402OkPZfTM6wt_s4BQ,8XOngbqT9Nqlz1VOntJPZA
xqUz5B9S1nolHRKEbjDe4w,-lClszc0AZcGOlcVAiwwfw,xDBVHiqFHwrsfcqKeTkN_Q
ZAq2vSZYH1BCBYHlNMXlqQ,-lClszc0AZcGOlcVAiwwfw,EnOlnSARnpYTviYDnwH_QQ
hu8KRRiJdjhblAcRppsJPg,-lClszc0AZcGOlcVAiwwfw,Y2NlgP7pFhJd56QK6n-Htw
r6S4E0fRXpcTfM4-oi29iQ,-lnhh4fxYISfdi180WNOKg,10FDpLdjDgxkceWSpvP0MQ
Hi10sGSZNxQH3NLyWSZ1oA,-lnhh4fxYISfdi180WNOKg,VKWabPyEa4mx5mIX0TT-9g
